Artist,Title,Skip,Favourite,Tags
Steve Winwood,Valerie,,,
Shed Seven,On Standby,,,
Pixies,Wave Of Mutilation,,,
Bat For Lashes,Sad Eyes,,,
Belly,Now They'll Sleep,,,
Neil Young,Harvest Moon,,,
The Shins,Sea Legs,,,
Gene,Sick Sober & Sorry,,,
Madonna,Papa Don't Preach,,,
Ralph McTell,From Clare to here,,,
The Stone Roses,(Song for My) Sugar Spun Sister,,,
The Smiths,I Don't Owe You Anything,,,
The Shins,Phantom Limb,,,
Duran Duran,Save a Prayer,,,
Wild Beasts,We Still Got The Taste Dancin' On Our Tongues,,,
Fleet Foxes,Ragged Wood,,,
Nico,These Days,,,
Shura,What Happened To Us?,,,
The Go! Team,The Answer's No - Now What's the Question?,,,
Emily Loizeau,Eaux sombres,,,
Gene,I Can't Decide If She Really Loves Me,,,
The Smiths,Cemetry Gates,,,
Leonard Cohen,Suzanne,,,
Pi Ja Ma,I Hate U,,,
Jane's Addiction,Been Caught Stealing,,,
Bat For Lashes,Horse And I,,,
Maximo Park,Apply Some Pressure,,,
The B-52's,Roam,,,
Super Furry Animals,Frequency,,,
Beach House,Norway,,,
Hole,Malibu,,,
Radiohead,Karma Police,,,
R.E.M.,Losing My Religion,,,
Manic Street Preachers,La Tristesse Durerea,,,
Longpigs,Far,,,
Longpigs,She Said,,,
The Roches,No Shoes,,,
The Roches,Hammond Song,,,
Fairport Convention,"Farewell, Farewell",,,
Austra,Running With the Wolves,,,
Voice of the Beehive,Don't Call Me Baby,,,
Voice of the Beehive,I Say Nothing,,,
Heart,Alone,,,Dicky Karaoke
Giorgio Moroder / Philip Oakey,Together In Electric Dreams,,,Dicky Karaoke
Chris Isaak,Wicked Game,,,Dicky Karaoke
Sinead O'Connor,Nothing Compares 2 U,,,Dicky Karaoke
Phyllis nelson,Move Closer,,,Dicky Karaoke
Fat Larry's Band,Zoom,,,Dicky Karaoke
Keane,Somewhere Only We Know,,,Dicky Karaoke
Lionel Richie,All Night Long (All Night),,,Jessica Protest Karaoke; Dicky Karaoke
Richard Marx,Hazard,,,Dicky Karaoke
Toto,Rosanna,,,Dicky Karaoke
Mike Oldfield,Moonlight Shadow,,,Dicky Karaoke
Feargal Sharkey,A Good Heart,,,Dicky Karaoke
Climie Fisher,Love Changes Everything,,,Dicky Karaoke
Cutting Crew,I Just Died In Your Arms Tonight,,,Dicky Karaoke
Roy Orbison,I Drove All Night ,,,Dicky Karaoke
Maximo Park,Going Missing,,,
ABC,The Look of Love,,,Dicky Karaoke
Dusty Springfield,Son of a Preacher Man,,,
Nick Drake,Northern Sky,,,
Nick Drake,One of These Things First,,,
Celine Dion,Think Twice,,,Dicky Karaoke
Tony Braxton,Unbreak my heart,,,Dicky Karaoke
Aztec Camera,Somewhere in my heart,,,Dicky Karaoke
Whitney Houston,I wanna dance with Somebody,,,
Chaka Khan,Ain't nobody love me better,,,Dicky Karaoke
Steve Windwood,Higher Love,,,Dicky Karaoke
Roxette ,It must have been love by ,,,
Florence and the Machine,The Dog Days are Over,,,
Neil Young,Only Love Can Break Your Heart,,,
The Cure,Close To Me,,,
Fleetwood Mac,Little Lies,,,
Neil Young,Heart of Gold,,,
Fleetwood Mac,Go Your Own Way,,,
Fleetwood Mac,Everywhere,,,
Echo & The Bunnymen,The Killing Moon,,,
Neil Young,When You Dance,,,
Neil Young,I Believe in You,,,
Sufjan Stevens,Jacksonville,,,
R.E.M.,Can't Get There from Here,,,
Jose Gonzalez ,Heartbeats,,,
Franz Ferdinand,Take Me Out,,,
R.E.M.,Orange Crush,,,
R.E.M.,Cuyahoga,,,
Sharon Van Etten,Seventeen,,,
Dire Straits,Sultans of Swing,,,
Oasis,Wonderwall,skip,,
Blur,To the End,,,
Blur,The Universal,,,
Blur,No Distance Left To Run,,,
Blur,Coffee & TV,,,
Blur,Girls & Boys,,,
Blur,For Tomorrow,,,
Blur,Song 2,,,
Blur,End of a Century,,,
Blur,Tender,,,
Blur,Beetlebum,,,
Blur,This Is a Low,,,
Britney Spears,Toxic,,,
Britney Spears,Hit Me Baby One More Time,,,
Britney Spears,Not So Innocent,,,
Bruce Springsteen,Dancing in the Dark,,,
David Bowie,Changes,,,
David Bowie,Oh! You Pretty Things,,,
David Bowie,Eight Line Poem,,,
David Bowie,Life on Mars?,,,
David Bowie,Kooks,,,
David Bowie,Quicksand,,,
David Bowie,Fill Your Heart,,,
David Bowie,Space Oddity,,,
David Bowie,Heroes,,,
David Bowie,Starman,,,
David Bowie,Rebel Rebel,,,
